,block,File Date,Non Payment,Breach,Nuisance,Illegal Use,Failure to Sign Renewal,Access Denial,Unapproved Subtenant,Owner Move In,Demolition,Capital Improvement,Substantial Rehab,Ellis Act WithDrawal,Condo Conversion,Roommate Same Unit,Other Cause,Late Payments,Lead Remediation,Development,Good Samaritan Ends,lon,lat
183,060750201004,2015-12-09,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.41959,37.76424
184,060750351005,2013-04-30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.50131,37.755943
185,060750125012,2017-09-05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.40984,37.783333
186,060750234001,2018-01-10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.393456,37.72172
187,060750125012,2019-04-29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.40984,37.783333
188,060750215002,2017-02-09,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-122.42434,37.74424
189,060750170001,2014-02-28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.436554,37.76814
190,060750230013,2019-08-23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.401375,37.73368
191,060750110003,2012-04-09,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.42205,37.793156
192,060750203001,2014-08-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.42765,37.765102
193,060750354005,2013-02-27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.50215,37.73721
194,060750229021,2019-06-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-122.40974,37.754368
195,060750109003,2012-09-10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.42152,37.798866
196,060750332031,2010-10-28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.47367,37.7155
197,060750261004,2019-03-14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.44199,37.722946
198,060750208003,2016-04-25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-122.42017,37.758564
199,060750103001,2017-01-26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.415695,37.803444
200,060750264023,2013-02-14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.409035,37.716255
201,060750127003,2015-04-07,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.44368,37.799873
202,060750229011,2018-01-16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-122.41401,37.751705
203,060750309002,2019-08-07,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.46748,37.72969
204,060750157003,2012-05-03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.452,37.781174
205,060750332032,2016-02-05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-122.48063,37.717464
206,060750330001,2014-07-28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.4842,37.741737
207,060750477011,2011-09-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-122.48681,37.77903
208,060750206001,2017-02-23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-122.42955,37.762085
